Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
37359;Mulberry;TN;35.203361;-86.40563;-6;1;35.203361,-86.40563
37239;Nashville;TN;36.186605;-86.785248;-6;1;36.186605,-86.785248
38345;Huron;TN;35.576402;-88.51041;-6;1;35.576402,-88.51041
38557;Crossville;TN;35.988457;-85.012389;-6;1;35.988457,-85.012389
37640;Butler;TN;36.335618;-81.97775;-5;1;36.335618,-81.97775
37036;Charlotte;TN;36.225389;-87.29179;-6;1;36.225389,-87.29179
38127;Memphis;TN;35.223796;-90.00646;-6;1;35.223796,-90.00646
38150;Memphis;TN;35.201738;-89.971538;-6;1;35.201738,-89.971538
37605;Johnson City;TN;36.315795;-82.383792;-5;1;36.315795,-82.383792
38388;Wildersville;TN;35.782093;-88.35061;-6;1;35.782093,-88.35061
37240;Nashville;TN;36.186605;-86.785248;-6;1;36.186605,-86.785248
37819;Newcomb;TN;36.547121;-84.18206;-5;1;36.547121,-84.18206
37871;Strawberry Plains;TN;36.04051;-83.67934;-5;1;36.04051,-83.67934
38076;Williston;TN;35.152913;-89.43406;-6;1;35.152913,-89.43406
37642;Church Hill;TN;36.534489;-82.71292;-5;1;36.534489,-82.71292
38341;Holladay;TN;35.866499;-88.09896;-6;1;35.866499,-88.09896
37363;Ooltewah;TN;35.087881;-85.06005;-5;1;35.087881,-85.06005
38220;Atwood;TN;35.98269;-88.66966;-6;1;35.98269,-88.66966
37044;Clarksville;TN;36.531398;-87.353008;-6;1;36.531398,-87.353008
37325;Delano;TN;35.245578;-84.58812;-5;1;35.245578,-84.58812
37893;Winona;TN;36.383425;-84.517287;-5;1;36.383425,-84.517287
38371;Sardis;TN;35.432389;-88.30407;-6;1;35.432389,-88.30407
37189;Whites Creek;TN;36.27062;-86.82052;-6;1;36.27062,-86.82052
37754;Heiskell;TN;36.138832;-84.03142;-5;1;36.138832,-84.03142
38174;Memphis;TN;35.201738;-89.971538;-6;1;35.201738,-89.971538
37336;Georgetown;TN;35.308786;-84.93042;-5;1;35.308786,-84.93042
38197;Memphis;TN;35.201738;-89.971538;-6;1;35.201738,-89.971538
38052;Middleton;TN;35.074302;-88.90845;-6;1;35.074302,-88.90845
37879;Tazewell;TN;36.465808;-83.52357;-5;1;36.465808,-83.52357
37365;Palmer;TN;35.375156;-85.55501;-6;1;35.375156,-85.55501
38390;Yuma;TN;35.843868;-88.36661;-6;1;35.843868,-88.36661
38257;South Fulton;TN;36.483302;-88.87895;-6;1;36.483302,-88.87895
37065;Franklin;TN;35.895085;-86.921416;-6;1;35.895085,-86.921416
37717;Clinton;TN;36.110028;-84.167208;-5;1;36.110028,-84.167208
37932;Knoxville;TN;35.919695;-84.17255;-5;1;35.919695,-84.17255
38068;Somerville;TN;35.275036;-89.32907;-6;1;35.275036,-89.32907
38313;Beech Bluff;TN;35.601914;-88.62354;-6;1;35.601914,-88.62354
37937;Powells Crossroads;TN;35.187308;-85.47929;-6;1;35.187308,-85.47929
37071;Gladeville;TN;36.156231;-86.304922;-6;1;36.156231,-86.304922
37135;Nolensville;TN;35.940383;-86.6686;-6;1;35.940383,-86.6686
38368;Reagan;TN;35.502859;-88.36148;-6;1;35.502859,-88.36148
37650;Erwin;TN;36.128301;-82.4273;-5;1;36.128301,-82.4273
37764;Kodak;TN;35.97555;-83.61374;-5;1;35.97555,-83.61374
37757;Jacksboro;TN;36.326509;-84.17277;-5;1;36.326509,-84.17277
37809;Midway;TN;36.162502;-83.0211;-5;1;36.162502,-83.0211
37845;Petros;TN;36.09122;-84.44598;-5;1;36.09122,-84.44598
37722;Cosby;TN;35.820011;-83.24441;-5;1;35.820011,-83.24441
38259;Trimble;TN;36.198652;-89.18203;-6;1;36.198652,-89.18203
38572;Pleasant Hill;TN;35.861811;-85.0902;-6;1;35.861811,-85.0902
37350;Lookout Mountain;TN;34.998375;-85.34865;-5;1;34.998375,-85.34865
38181;Memphis;TN;35.201738;-89.971538;-6;1;35.201738,-89.971538
38560;Elmwood;TN;36.236398;-85.88908;-6;1;36.236398,-85.88908
37329;Englewood;TN;35.41142;-84.47473;-5;1;35.41142,-84.47473
38222;Buchanan;TN;36.458738;-88.14836;-6;1;36.458738,-88.14836
38454;Duck River;TN;35.727189;-87.31927;-6;1;35.727189,-87.31927
38585;Spencer;TN;35.69653;-85.41146;-6;1;35.69653,-85.41146
37385;Tellico Plains;TN;35.345237;-84.27728;-5;1;35.345237,-84.27728
38075;Whiteville;TN;35.35001;-89.15508;-6;1;35.35001,-89.15508
38393;Chewalla;TN;34.99687;-88.645577;-6;1;34.99687,-88.645577
37184;Watertown;TN;36.096166;-86.13715;-6;1;36.096166,-86.13715
37209;Nashville;TN;36.151324;-86.8559;-6;1;36.151324,-86.8559
37347;Jasper;TN;35.065007;-85.61818;-6;1;35.065007,-85.61818
37326;Ducktown;TN;35.030319;-84.38284;-5;1;35.030319,-84.38284
38042;Hickory Valley;TN;35.149952;-89.1536;-6;1;35.149952,-89.1536
38317;Bruceton;TN;36.038551;-88.25144;-6;1;36.038551,-88.25144
38463;Iron City;TN;35.069017;-87.62171;-6;1;35.069017,-87.62171
37779;Luttrell;TN;36.20423;-83.75046;-5;1;36.20423,-83.75046
38577;Pall Mall;TN;36.571669;-84.99647;-6;1;36.571669,-84.99647
38173;Memphis;TN;35.201738;-89.971538;-6;1;35.201738,-89.971538
37890;White Pine;TN;36.094622;-83.29024;-5;1;36.094622,-83.29024
37771;Lenoir City;TN;35.815523999999996;-84.29301;-5;1;35.815524,-84.29301
37851;Pruden;TN;36.557884;-83.81392;-5;1;36.557884,-83.81392
38024;Dyersburg;TN;36.038042;-89.38613;-6;1;36.038042,-89.38613
38369;Rutherford;TN;36.12836;-88.98134;-6;1;36.12836,-88.98134
38481;Saint Joseph;TN;35.03492;-87.50215;-6;1;35.03492,-87.50215
37380;South Pittsburg;TN;35.045886;-85.72513000000001;-6;1;35.045886,-85.72513
37034;Chapel Hill;TN;35.639491;-86.6865;-6;1;35.639491,-86.6865
38103;Memphis;TN;35.146131;-90.0534;-6;1;35.146131,-90.0534
37130;Murfreesboro;TN;35.860152;-86.3648;-6;1;35.860152,-86.3648
37828;Norris;TN;36.190257;-84.07017;-5;1;36.190257,-84.07017
37886;Walland;TN;35.734481;-83.81988;-5;1;35.734481,-83.81988
37802;Maryville;TN;35.728283;-83.933815;-5;1;35.728283,-83.933815
38161;Memphis;TN;35.201738;-89.971538;-6;1;35.201738,-89.971538
37035;Chapmansboro;TN;36.388731;-87.13175;-6;1;36.388731,-87.13175
37404;Chattanooga;TN;35.030474;-85.2749;-5;1;35.030474,-85.2749
37818;Mosheim;TN;36.190417;-82.96185;-5;1;36.190417,-82.96185
37219;Nashville;TN;36.166806;-86.78172;-6;1;36.166806,-86.78172
37314;Cokercreek;TN;35.246689;-84.303121;-5;1;35.246689,-84.303121
37731;Eidson;TN;36.531811;-83.03714;-5;1;36.531811,-83.03714
38486;Westpoint;TN;35.164749;-87.54145;-6;1;35.164749,-87.54145
38553;Clarkrange;TN;36.209271;-85.00757;-6;1;36.209271,-85.00757
38327;Crump;TN;35.225753;-88.30456;-6;1;35.225753,-88.30456
37801;Maryville;TN;35.709071;-84.05015;-5;1;35.709071,-84.05015
37383;Sewanee;TN;35.180503;-85.903522;-6;1;35.180503,-85.903522
37033;Centerville;TN;35.76714;-87.49418;-6;1;35.76714,-87.49418
38542;Allred;TN;36.323957;-85.20787;-6;1;36.323957,-85.20787
37412;Chattanooga;TN;34.996674;-85.23748;-5;1;34.996674,-85.23748
37829;Oakdale;TN;35.98291;-84.60149;-5;1;35.98291,-84.60149
38054;Millington;TN;35.334132;-89.870636;-6;1;35.334132,-89.870636
37807;Maynardville;TN;36.251265;-83.82558;-5;1;36.251265,-83.82558
37849;Powell;TN;36.044507;-84.04192;-5;1;36.044507,-84.04192
38333;Eva;TN;36.114049;-87.97808;-6;1;36.114049,-87.97808
37354;Madisonville;TN;35.506259;-84.35738;-5;1;35.506259,-84.35738
38363;Parsons;TN;35.66088;-88.1184;-6;1;35.66088,-88.1184
37715;Clairfield;TN;36.567165;-83.94202;-5;1;36.567165,-83.94202
37838;Sewanee;TN;35.199411;-85.93221;-6;1;35.199411,-85.93221
37881;Thorn Hill;TN;36.407028;-83.34113;-5;1;36.407028,-83.34113
37922;Knoxville;TN;35.875925;-84.12608;-5;1;35.875925,-84.12608
37929;Knoxville;TN;35.922421;-83.795492;-5;1;35.922421,-83.795492
37641;Chuckey;TN;36.21503;-82.6744;-5;1;36.21503,-82.6744
37366;Pelham;TN;35.304582;-85.85456;-6;1;35.304582,-85.85456
37343;Hixson;TN;35.167987;-85.21158;-5;1;35.167987,-85.21158
37248;Nashville;TN;36.186605;-86.785248;-6;1;36.186605,-86.785248
37665;Kingsport;TN;36.583233;-82.57249;-5;1;36.583233,-82.57249
37020;Bell Buckle;TN;35.616935;-86.39629;-6;1;35.616935,-86.39629
38336;Fruitvale;TN;35.748414;-89.032672;-6;1;35.748414,-89.032672
37025;Bon Aqua;TN;35.943598;-87.28991;-6;1;35.943598,-87.28991
38045;Laconia;TN;35.290428;-89.232185;-6;1;35.290428,-89.232185
37411;Chattanooga;TN;35.023824;-85.2333;-5;1;35.023824,-85.2333
38425;Clifton;TN;35.401188;-87.97188;-6;1;35.401188,-87.97188
38311;Bath Springs;TN;35.436584;-88.11912;-6;1;35.436584,-88.11912
37878;Tallassee;TN;35.63373;-83.93138;-5;1;35.63373,-83.93138
37161;Shelbyville;TN;35.471531;-86.489019;-6;1;35.471531,-86.489019
37190;Woodbury;TN;35.813335;-86.05538;-6;1;35.813335,-86.05538
38389;Yorkville;TN;36.135364;-89.111653;-6;1;36.135364,-89.111653
38548;Buffalo Valley;TN;36.163234;-85.78987;-6;1;36.163234,-85.78987
38378;Spring Creek;TN;35.764637;-88.685;-6;1;35.764637,-88.685
37387;Tracy City;TN;35.275367;-85.74039;-6;1;35.275367,-85.74039
37381;Spring City;TN;35.68801;-84.82777;-5;1;35.68801,-84.82777
38271;Woodland Mills;TN;36.458295;-89.233227;-6;1;36.458295,-89.233227
38453;Dellrose;TN;35.128317;-86.81188;-6;1;35.128317,-86.81188
37338;Graysville;TN;35.443503;-85.18397;-6;1;35.443503,-85.18397
37374;Sequatchie;TN;35.19174;-85.64149;-6;1;35.19174,-85.64149
38587;Walling;TN;35.869657;-85.61165;-6;1;35.869657,-85.61165
38455;Elkton;TN;35.05392;-86.895305;-6;1;35.05392,-86.895305
